new serial,Old Serial,Deployment Stage,LATEST serial,NEW Serial,OLD Serial,Title,Note,,Key,Item Type,Publication Year,Author,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
30,30,System Integration,30,30,210,SWIX: A memory-efficient sliding window learned index,,,ZSFVCMZE,journalArticle,2024,"Liang, L; Yang, G; Hadian, A; …, LA Croquevielle - Proceedings of the ACM; 2024, undefined",dl.acm.org,,10.1145/3639296,10.1145/3639296,https://dl.acm.org/doi/abs/10.1145/3639296,"Data stream processing systems enable querying over sliding windows of streams of data. Efficient index structures for the streaming window are a crucial building block to enable querying the sliding window for operations such as aggregation and joins. This paper proposes SWIX, a novel memory-efficient learned index for sliding windows. Unlike conventional learned indexes that rely on tree structures to achieve logarithmic query cost, SWIX has a flat structure that uses substantially less memory and enables efficient query execution while having a low cost for index maintenance when inserting (and retraining). SWIX dynamically adapts itself to the real-time distribution shifts of data streams.SWIX outperforms existing indexes in terms of query execution time and memory footprint for workloads characterized by very frequent updates. Our results show that SWIX has a significantly smaller memory footprint than conventional, streaming, and learned indexes, using only 22% to 42% of the size compared to state-of-the-art approaches, yet outperforming them by up 1.2× to 1.6× on average (and up to 52×) in terms of query time, making it a space- and time-efficient method for indexing data streams. For concurrent learned indexes, Parallel SWIX can achieve up to 3.45× throughput with only 34% of memory consumption.",2024-03,2025-12-21 21:43:57,2025-12-21 21:43:57,,1-26,,1,2,,,,,,,,,,,,,,,,,Publisher: Association for Computing Machinery (ACM),,,,at structure; automatic tuning; CCS Concepts: • Information systems → Data structures Additional Key Words and Phrases: learned index; lightweight structure; parallel structure; streaming processing; update heavy ACM Reference Format:; window-based query,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31,Novel Index Design (Research Prototype),31,31,216,G-learned index: Enabling efficient learned index on GPU,GPU-Based,,4HIZANNN,journalArticle,2024,"Liu, Jiesong; Zhang, Feng; Lu, Lv; Qi, Chang; Guo, Xiaoguang; Deng, Dong; Li, Guoliang; Zhang, Huanchen; Zhai, Jidong; Member, Senior; Zhang, Hechen; Chen, Yuxing; Pan, Anqun; Du, Xiaoyong; Zhang Jiesong Liu, Feng",ieeexplore.ieee.org,,,10.1109/TPDS.2024.3381214,https://ieeexplore.ieee.org/abstract/document/10489837/,"AI and GPU technologies have been widely applied to solve Big Data problems. The total data volume worldwide reaches 200 zettabytes in 2022. How to efficiently index the required content among massive data becomes serious. Recently, a promising learned index has been proposed to address this challenge: It has extremely high efficiency while retaining marginal space overhead. However, we notice that previous learned indexes have mainly focused on CPU architecture, while ignoring the advantages of GPU. Because traditional indexes like B-Tree, LSM, and bitmap have greatly benefited from GPU acceleration, a combination of a learned index and GPU has great potentials to reach tremendous speedups. In this paper, we propose a GPU-based learned index, called G-Learned Index, to significantly improve the performance of learned index structures. The primary challenges in developing G-Learned Index lie in the use of thousands of GPU cores including minimization of synchronization and branch divergence, data structure design for parallel operations, and usage of memory bandwidth including limited memory transactions and multi-memory hierarchy. To overcome these challenges, a series of novel technologies are developed, including efficient thread organization, succinct data structures, and heterogeneous memory hierarchy utilization. Compared to the state-of-the-art learned index, the proposed G-Learned Index achieves an average of 174× speedup (and 107× of its parallel version). Meanwhile, we attain 2× less query time over the state-of-the-art GPU B-Tree. Our further exploration of range queries shows that G-Learned Index is 17× faster than CPU multi-dimensional learned index.",1905-07,2025-12-21 21:43:58,2025-12-21 21:43:58,,,,6,35,,,,,,,,,,,,,,,,,,,,,acceleration; GPU; parallel; Index Terms-Learned index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32,Novel Index Design (Research Prototype),32,32,217,A Data-aware Learned Index Scheme for Efficient Writes,,,2V7Y5PH7,journalArticle,2022,"Liu, Li; Li, Chunhua; Zhang, Zhou; Liu, Yuhan; Zhou, Ke; Zhang, Ji",dl.acm.org,,9781450397339,10.1145/3545008.3545077,https://dl.acm.org/doi/abs/10.1145/3545008.3545077?casa_token=-5iV0hTf_vcAAAAA:RvQFvAvYIrM5FlabIp_eNVBVLNXJIXSK3pJzX2Iqj5Afuz_pf9BibgP2T86yy0tYUzMGYC97ezUVtoE,"Index structure is very important for efficient data access and system performance in the storage system. Learned index utilizes recursive index models to replace range index structure (such as B+ Tree) so as to predict the position of a lookup key in a dataset. This new paradigm greatly reduces query time and index size, however it only supports read-only workloads. Although some studies reserve gaps between keys for new data to support update, they incur high memory space and shift cost when a large number of data are inserted. In this paper, we propose a data-aware learned index scheme with high scalability, called EWALI, which constructs index models based on a lightweight data-aware data partition algorithm. When the data distribution changes, EWALI can automatically split the related leaf nodes and retrain the corresponding models to accommodate different workloads. In addition, EWALI designs an alternative duel buffers to handle new data and adopts the delayed update mechanism to merge data, greatly reducing write locking and improving write performance. We evaluate EWALI with real-world and synthetic datasets. Extensive experimental results show that EWALI reduces write latency respectively by 60.9% and 33.7% than state-of-the-art Fitting-Tree and XIndex, and achieves up to 3.1 × performance improvement in terms of range query comparing with XIndex.",2022-08,2025-12-21 21:43:58,2025-12-21 21:43:58,,,,,,,,,,,,,,,,,,,,,,Publisher: Association for Computing Machinery,,,,Index; Data Partition; Data-aware Model; Updating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,69,Novel Index Design (Research Prototype),69,69,455,COLIN: A cache-conscious dynamic learned index with high read/write performance,,,34Y2MR5B,journalArticle,2021,"Zhang, Zhou; Jin, Pei Quan; Wang, Xiao Liang; Lv, Yan Qi; Wan, Shou Hong; Xie, Xi Ke",Springer,,,10.1007/S11390-021-1348-2,https://link.springer.com/article/10.1007/s11390-021-1348-2,"The recently proposed learned index has higher query performance and space efficiency than the conventional B+-tree. However, the original learned index has the problems of insertion failure and unbounded query complexity, meaning that it supports neither insertions nor bounded query complexity. Some variants of the learned index use an out-of-place strategy and a bottom-up build strategy to accelerate insertions and support bounded query complexity, but introduce additional query costs and frequent node splitting operations. Moreover, none of the existing learned indices are cache-friendly. In this paper, aiming to not only support efficient queries and insertions but also offer bounded query complexity, we propose a new learned index called COLIN (Cache-cOnscious Learned INdex). Unlike previous solutions using an out-of-place strategy, COLIN adopts an in-place approach to support insertions and reserves some empty slots in a node to optimize the node’s data placement. In particular, through model-based data placement and cache-conscious data layout, COLIN decouples the local-search boundary from the maximum error of the model. The experimental results on five workloads and three datasets show that COLIN achieves the best read/write performance among all compared indices and outperforms the second best index by 18.4%, 6.2%, and 32.9% on the three datasets, respectively.",2021-07,2025-12-21 21:44:04,2025-12-21 21:44:04,,721-740,,4,36,,,,,,,,,,,,,,,,,Publisher: Springer,,,,learned index; cache-conscious; dynamic index; insertion; read/write performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,34,Foundational Proposal,34,91,662,RadixSpline: A single-pass learned index,,no models compared,KHB3IUZM,journalArticle,2020,"Kipf, Andreas; Marcus, Ryan; Van Renen, Alexander; Stoian, Mihail; Kemper, Alfons; Kraska, Tim; Neumann, Thomas","Proceedings of the 3rd International Workshop on Exploiting Artificial Intelligence Techniques for Data Management, aiDM 2020",,9781450380294,10.1145/3401071.3401659,https://arxiv.org/pdf/2004.14541,"Recent research has shown that learned models can outperform state-of-the-art index structures in size and lookup performance. While this is a very promising result, existing learned structures are often cumbersome to implement and are slow to build. In fact, most approaches that we are aware of require multiple training passes over the data. We introduce RadixSpline (RS), a learned index that can be built in a single pass over the data and is competitive with state-of-the-art learned index models, like RMI, in size and lookup performance. We evaluate RS using the SOSD benchmark and show that it achieves competitive results on all datasets, despite the fact that it only has two parameters.",2020-06,2025-12-23 8:25:02,2025-12-23 8:25:02,,,,,,,,,,,,,,,,,,,,,,"Publisher: Association for Computing Machinery, Inc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35,Novel Index Design (Research Prototype),35,35,239,APEX: A High-Performance Learned Index on Persistent Memory,Foundational paper,,MGKXCS23,journalArticle,2021,"Lu, Baotong; Ding, Jialin; Lo, Eric; Minhas, Umar Farooq; Wang, Tianzheng",Proceedings of the VLDB Endowment,,2105.00683v3,10.14778/3494124.3494141,https://arxiv.org/pdf/2105.00683,"The recently released persistent memory (PM) offers high performance, persistence, and is cheaper than DRAM. This opens up new possibilities for indexes that operate and persist data directly on the memory bus. Recent learned indexes exploit data distribution and have shown great potential for some workloads. However, none support persistence or instant recovery, and existing PM-based indexes typically evolve B+-trees without considering learned indexes. This paper proposes APEX, a new PM-optimized learned index that offers high performance, persistence, concurrency, and instant recovery. APEX is based on ALEX, a state-of-the-art updatable learned index, to combine and adapt the best of past PM optimizations and learned indexes, allowing it to reduce PM accesses while still exploiting machine learning. Our evaluation on Intel DCPMM shows that APEX can perform up to ∼15× better than existing PM indexes and can recover from failures in ∼42ms.",1905-07,2025-12-21 21:43:58,2025-12-21 21:43:58,,597-610,,3,15,,,,,,,,,,,,,,,,,Publisher: VLDB Endowment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,36,System Integration,36,36,249,Film: A fully learned index for larger-than-memory databases,,,6FHSVPEX,journalArticle,2022,"Ma, Chaohong; Yu, Xiaohui; Li, Yifan; Meng, Xiaofeng; Maoliniyazi, Aishan",dl.acm.org,,,10.14778/3570690.3570704,https://dl.acm.org/doi/abs/10.14778/3570690.3570704?casa_token=1VMq6oP670YAAAAA:TUvr9Z_sxWQw1IphoPGVQx3gKvkMZIeulUpgX64XYhbTAPYvpO4XuV0JkMg6EYMwLat1EAH_Qi66R-w,"As modern applications generate data at an unprecedented speed and often require the querying/analysis of data spanning a large duration, it is crucial to develop indexing techniques that cater to larger-than-memory databases, where data reside on heterogeneous storage devices (such as memory and disk), and support fast data insertion and query processing. In this paper, we propose FILM, a Fully learned Index for Larger-than-Memory databases. FILM is a learned tree structure that uses simple approximation models to index data spanning different storage devices. Compared with existing techniques for larger-than-memory databases, such as anti-caching, FILM allows for more efficient query processing at significantly lower main-memory overhead. FILM is also designed to effectively address one of the bottlenecks in existing methods for indexing larger-than-memory databases that is caused by data swapping between memory and disk. More specifically, updating the LRU (for Least Recently Used) structure employed by existing methods for cold data identification (determining the data to be evicted to disk when the available memory runs out) often incurs significant delay to query processing. FILM takes a drastically different approach by proposing an adaptive LRU structure and piggybacking its update onto query processing with minimal overhead. We thoroughly study the performance of FILM and its components on a variety of datasets and workloads, and the experimental results demonstrate its superiority in improving query processing performance and reducing index storage overhead (by orders of magnitudes) compared with applicable baselines.",2022-11,2025-12-21 21:43:59,2025-12-21 21:43:59,,561-573,,3,16,,,,,,,,,,,,,,,,,Publisher: VLDB Endowment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,37,Novel Index Design (Research Prototype),37,37,264,RUSLI: real-time updatable spline learned index,radixspline,no models compared,YURG4BTF,journalArticle,2021,"Mishra, M; Workshop, R Singhal - Proceedings of the Fourth International; 2021, undefined",dl.acm.org,,9781450385350,10.1145/3464509.3464886,https://dl.acm.org/doi/abs/10.1145/3464509.3464886?casa_token=lmbFeRpbuo8AAAAA:aT2HwPn2S9qvhAqB1tTybvTXS1Y5ArWw_wZiKhO6nSsYC5TxmCV0JBQ88s3MhJ4aEHT2l31Re5aOm3Y,"Machine learning algorithms have accelerated data access through ĝlearned index', where a set of data items is indexed by a model learned on the pairs of data key and the corresponding record's position in the memory. Most of the learned indexes require retraining of the model for new data insertions in the data set. The retraining is expensive and takes as much time as the model training. So, today, learned indexes are updated by retraining on batch inserts to amortize the cost. However, real-time applications, such as data-driven recommendation applications need to access users' feature store in real-time both for reading data of existing users and adding new users as well. This motivates us to present a real-time updatable spline learned index, RUSLI, by learning the distribution of data keys with their positions in memory through splines. We have extended RadixSpline [8] to build the updatable learned index while supporting real-time inserts in a data set without affecting the lookup time on the updated data set. We have shown that RUSLI can update the index in constant time with an additional temporary memory of size proportional to the number of splines. We have discussed how to reduce the size of the presented index using the distribution of spline keys while building the radix table. RULSI is shown to incur 270ns for lookup and 50ns for insert operations. Further, we have shown that RUSLI supports concurrent lookup and insert operations with a throughput of 40 million ops/sec. We have presented and discussed performance numbers of RUSLI for single and concurrent inserts, lookup, and range queries on SOSD [9] benchmark.",2021-06,2025-12-21 21:43:59,2025-12-21 21:43:59,,1-8,,,,,,,,,,,,,,,,,,,,"Publisher: Association for Computing Machinery, Inc",,,,Learned index; Real-time inserts; Spline-based index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,38,Novel Index Design (Research Prototype),38,38,265,LOFT: A Lock-free and Adaptive Learned Index with High Scalability for Dynamic Workloads,,,GZP55TZC,journalArticle,2025,"Mo, Y; on, Y Hua - Proceedings of the Twentieth European Conference; 2025, undefined",dl.acm.org,,9798400711961,10.1145/3689031.3717458,https://dl.acm.org/doi/abs/10.1145/3689031.3717458?casa_token=8LJKUaTf0A8AAAAA:kvpZOiNlih4F6dljkuboRBp8kI-1-VvFSr1BnKxZfD3FpwysHrWdxqoKf66K-PBqtQcZfRRCNTXFuwg,"In order to mitigate memory overheads and reduce data movements in the critical path, a computational and space-efficient learned index is promising to deliver high performance and complement traditional index structures, which unfortunately works well only in static workloads. In dynamic workloads, the learned indexes incur performance degradation with poor scalability due to inefficient data placement for newly inserted items and intensive lock contention. Furthermore, the model retraining is time-consuming and blocking, which hampers the performance of index operations. In order to meet the needs of dynamic workloads and efficient retraining, we propose LOFT, a highly scalable and adaptive learned index with lock-free design and self-tuning retraining technique to provide high throughput and low latency. LOFT enables all index operations to be concurrently executed in a lock-free manner by using Compare- and-Swap (CAS) primitive and an expanded learned bucket to handle the overflowed data. To minimize the impact of model retraining, LOFT leverages a shadow node to serve the clients’ requests and accelerates the retraining process with the aid of index operations. To accommodate dynamic workloads, LOFT determines when and how to perform retraining based on inferred access patterns. Our extensive evaluation on YCSB and real-world workloads demonstrates that LOFT effectively improves the performance by up to 14× than state-of-the-art designs.",2025-03,2025-12-21 21:43:59,2025-12-21 21:43:59,,475-491,,,25,,,,,,,,,,,,,,,,,"Publisher: Association for Computing Machinery, Inc",,,,learned index; concurrency control; dynamic workload,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,39,System Integration,39,39,296,AStore: Uniformed Adaptive Learned Index and Cache for RDMA-Enabled Key-Value Store,cloud based," transformed ALEX from a single-machine index into a distributed, concurrent, and RDMA-optimized model.",QABZ2YUA,journalArticle,,"Qiao, P; Zhang, Z; Li, Y; Yuan, Y; …, S Wang - … on Knowledge and; 2024, undefined",ieeexplore.ieee.org,,,,https://ieeexplore.ieee.org/abstract/document/10402111/,,,2025-12-21 21:44:00,2025-12-21 21:44:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40,Novel Index Design (Research Prototype),40,40,298,An Empirical Study of Segmented Linear Regression Search in LevelDB,,,IC7BLK55,journalArticle,,"Ramadhan, AR; Choi, M; Chung, Y; Electronics, J Choi -; 2023, undefined",mdpi.com,,,,https://www.mdpi.com/2079-9292/12/4/1018,,,2025-12-21 21:44:00,2025-12-21 21:44:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,68,Novel Index Design (Research Prototype),68,68,454,PLIN: A persistent learned index for non-volatile memory with high performance and instant recovery,,,DYEY7GQL,journalArticle,2022,"Zhang, Zhou; Chu, Zhaole; Jin, Peiquan; Luo, Yongping; Xie, Xike; Wan, Shouhong; Luo, Yun; Wu, Xufei; Zou, Peng; Zheng, Chunyang; Wu, Guoan; Rudoff, Andy",dl.acm.org,,,10.14778/3565816.3565826,https://dl.acm.org/doi/abs/10.14778/3565816.3565826?casa_token=X1yTy1F-9LgAAAAA:889fNKjUgZqnlLyn32fymBiKGkf5iwHGyfdXoqENVXs6N-QuS3KAQu491Riu-XlEKblAj5oddAMql-A,"Non-Volatile Memory (NVM) has emerged as an alternative to next-generation main memories. Although many tree indices have been proposed for NVM, they generally use B+-tree-like structures. To further improve the performance of NVM-aware indices, we consider integrating learned indexes into NVM. The challenges of such an integration are two fold: (1) existing NVM indices rely on small nodes to accelerate insertions with crash consistency, but learned indices use huge nodes to obtain a flat structure. (2) the node structure of learned indices is not NVM friendly, meaning that accessing a learned node will cause multiple NVM block misses. Thus, in this paper, we propose a new persistent learned index called PLIN. The novelty of PLIN lies in four aspects: an NVM-aware data placement strategy, locally unordered and globally ordered leaf nodes, a model copy mechanism, and a hierarchical insertion strategy. In addition, PLIN is proposed for the NVM-only architecture, which can support instant recovery. We also present optimistic concurrency control and fine-grained locking mechanisms to make PLIN scalable to concurrent requests. We conduct experiments on real persistent memory with various workloads and compare PLIN with APEX, PACtree, ROART, TLBtree, and Fast&Fair. The results show that PLIN achieves 2.08x higher insertion performance and 4.42x higher query performance than its competitors on average. Meanwhile, PLIN only needs ∼30 s to recover from a system crash.",1905-07,2025-12-21 21:44:04,2025-12-21 21:44:04,,243-255,,2,16,,,,,,,,,,,,,,,,,Publisher: VLDB Endowment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,42,Novel Index Design (Research Prototype),42,42,325,"SLIN: A CPU-efficient, Hybrid Tree and Learned Index for String Data",,,AFDT32NI,journalArticle,2025,"Song, Yuanyuan; Cai, Miao; Ye, Baoliu; Cheng, Guo",dl.acm.org,,9798400710445,10.1145/3705374.3705382,https://dl.acm.org/doi/abs/10.1145/3705374.3705382?casa_token=HENluqf04LgAAAAA:QAV5jHA4YkAqEZUOUjzTtwYL3wvryosnMZjY2EWdpmSjed-lHbNLJB3YKwbGaSpSlHOci1AuKIe9HLk,"The learned index is a disruptive technique for big data management. The core idea of the learned index is to retrofit the data indexing in traditional index structures with machine learning (ML) models, providing fast data position prediction instead of slow index tree traversal. Yet, current learned indexes focus on fix-sized numeric data and all of them perform poorly for variable-length string data for two main reasons: 1) high computational overheads caused by lengthy string key prediction; 2) large ML model fitting errors due to variance in string prefixes. This paper introduces SLIN, a CPU-efficient, hybrid index for variable-length string data. SLIN features a hybrid tree and learned index structure that leverages the strength of each index to overcome the above-mentioned challenges. It proposes a string slice approach which converts variable-length strings into fix-sized integers, which facilitates using one-dimensional linear regression for key prediction to reduce computational overheads. Furthermore, it extracts the common prefix from string keys to decrease model fitting errors. Finally, we propose a strategy to adaptively choose the appropriate index to manage computational costs. Evaluations compare SLIN with state-of-the-art index structures. The experimental results show that SLIN achieves up to 2.47x higher throughputs and relatively small fitting errors.",2025-02,2025-12-21 21:44:01,2025-12-21 21:44:01,,52-58,,,7,,,,,,,,,,,,,,,,,"Publisher: Association for Computing Machinery, Inc",,,,Learned index; String key; Hybrid index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,43,Novel Index Design (Research Prototype),43,43,326,LIFM: A Persistent Learned Index for Flash Memory,,,KQYHUX4W,journalArticle,,"Song, S; Jin, P; Chu, Z; …, Y Luo - 2023 IEEE 29th; 2023, undefined",ieeexplore.ieee.org,,,,https://ieeexplore.ieee.org/abstract/document/10476081/,,,2025-12-21 21:44:01,2025-12-21 21:44:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,44,Foundational Proposal,44,89,652,Fiting-tree: A Data-aware Index Structure,,,5AZ6ZAWG,journalArticle,2019,"Galakatos, Alex; Markovitch, Michael; Binnig, Carsten; Fonseca, Rodrigo; Kraska, Tim",Proceedings of the ACM SIGMOD International Conference on Management of Data,,9781450356435,10.1145/3299869.3319860,https://arxiv.org/pdf/1801.10207,"Index structures are one of the most important tools that DBAs leverage to improve the performance of analytics and transactional workloads. However, building several indexes over large datasets can often become prohibitive and consume valuable system resources. In fact, a recent study showed that indexes created as part of the TPC-C benchmark can account for 55% of the total memory available in a modern DBMS. This overhead consumes valuable and expensive main memory, and limits the amount of space available to store new data or process existing data. In this paper, we present a novel data-aware index structure called FITing-Tree which approximates an index using piece-wise linear functions with a bounded error specified at construction time. This error knob provides a tunable parameter that allows a DBA to FIT an index to a dataset and workload by being able to balance lookup performance and space consumption. To navigate this tradeoff, we provide a cost model that helps determine an appropriate error parameter given either (1) a lookup latency requirement (e.g., 500ns) or (2) a storage budget (e.g., 100MB). Using a variety of real-world datasets, we show that our index is able to provide performance that is comparable to full index structures while reducing the storage footprint by orders of magnitude.",2019-06,2025-12-23 8:25:01,2025-12-23 8:25:01,,1189-1206,,,,,,,,,,,,,,,,,,,,Publisher: Association for Computing Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,Foundational Proposal,45,45,337,XIndex: a scalable learned index for multicore data storage,,,ZV7R89TY,journalArticle,2020,"Tang, Chuzhe; Wang, Youyun; Dong, Zhiyuan; Hu, Gansen; Wang, Zhaoguo; Wang, Minjie; Chen, Haibo",dl.acm.org,,9781450368186,10.1145/3332466.3374547,https://dl.acm.org/doi/abs/10.1145/3332466.3374547?casa_token=5d868KSHWx4AAAAA:WNtbIHb67VRHEl1vTg-JRor0TLeVb2R4JYlHnf1CprtbagoGIBz19eqgRRCsrAdqcoE8dC2m3uK8HLM,"We present XIndex, a concurrent ordered index designed for fast queries. Similar to a recent proposal of the learned index, XIndex uses learned models to optimize index efficiency. Comparing with the learned index, XIndex is able to effectively handle concurrent writes without affecting the query performance by leveraging fine-grained synchronization and a new compaction scheme, Two-Phase Compaction. Furthermore, XIndex adapts its structure according to runtime workload characteristics to support dynamic workload. We demonstrate the advantages of XIndex with both YCSB and TPC-C (KV), a TPC-C variant for key-value stores. XIndex achieves up to 3.2× and 4.4× performance improvement comparing with Masstree and Wormhole, respectively, on a 24-core machine, and it is open-sourced1",2020-02,2025-12-21 21:44:01,2025-12-21 21:44:01,,308-320,,,,,,,,,,,,,,,,,,,,Publisher: Association for Computing Machinery,,,,CCS Concepts; Information systems → Data struc-tures; Theory of computation → Concurrent algo-rithms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,46,System Integration,46,46,343,DALdex: A DPU-Accelerated Persistent Learned Index via Incremental Learning,,,VKJYVK3P,journalArticle,2025,"Tong, Aoyang; Hua, Yu; Chen, Menglei",dl.acm.org,,9798400715372,10.1145/3721145.3725750,https://dl.acm.org/doi/abs/10.1145/3721145.3725750?casa_token=3Mk7X9Cq8EYAAAAA:6KFNPz-jxRPpNn-DJcGONRIXEY36a5oM8xflLXkfdN4yzm7O52DAHmE-ul-00Vdt4gIBg3rD0la_Cis,"The Data Process Unit (DPU) specializes in offloading CPU-intensive tasks and provides efficient fault tolerance through hardware-level isolation. This brings unique opportunities to develop persistent indexes with high performance and availability in High Performance Computing (HPC) systems. The recent learned index exploits machine learning models to efficiently fit data distributions, exhibiting superior performance and low storage costs, which is a promising alternative to traditional tree-based range indexes. However, state-of-the-art persistent learned indexes suffer from costly model retrainings and inefficient recovery mechanisms based on Non-Volatile Memory (NVM), making them inefficient to be offloaded to DPUs.To address these challenges, we propose DALdex, a CPU-DPU hybrid persistent learned index with high performance and availability. To mitigate model retraining overheads, DALdex offloads retraining tasks to DPU based on the incremental learning scheme. To minimize NVM amplifications, DALdex designs an NVM-friendly index structure that is decoupled into a DRAM-accelerated model layer and an NVM-aware block layer. Moreover, DALdex utilizes the hardware isolation feature of DPU to achieve seamless failover and instant recovery via the PCIe bus. Extensive evaluation results demonstrate that DALdex outperforms state-of-the-art persistent indexes by 1.07-6.34 × with minimal DRAM and NVM overheads. The open-source code of DALdex is available at https://github.com/CitySkylines/DALdex.",2025-08,2025-12-21 21:44:01,2025-12-21 21:44:01,,535-549,,,Part of 213821,,,,,,,,,,,,,,,,,Publisher: Association for Computing Machinery,,,,Learned Index; Data Process Unit; Non-Volatile Memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,47,Novel Index Design (Research Prototype),47,47,357,Accelerating string-key learned index structures via memoization-based incremental training,,,NF2UQMF4,journalArticle,2024,"Wang, Zhonghua; Ding, Chen; Wan, Jiguang; Tan, Zhihu; Xie, Changsheng; Wuhan, The; Ding, C; Lu, K; Wan, J; Tan, Z; Xie, C; Li, G; Song, Fengguang; Lu, Kai; Li, Guokuan",arxiv.org,,,10.1145/3634915,https://arxiv.org/abs/2403.11472,"Learned Index, which utilizes effective machine learning models to accelerate locating sorted data positions, has gained increasing attention in many big data scenarios. Using efficient learned models, the learned indexes build large nodes and flat structures, thereby greatly improving the performance. However, most of the state-of-the-art learned indexes are designed for DRAM, and there is hence an urgent need to enable high-performance learned indexes for emerging Non-Volatile Memory (NVM). In this article, we first evaluate and analyze the performance of the existing learned indexes on NVM. We discover that these learned indexes encounter severe write amplification and write performance degradation due to the requirements of maintaining large sorted/semi-sorted data nodes. To tackle the problems, we propose a novel three-tiered architecture of write-optimized persistent learned index, which is named WIPE, by adopting unsorted fine-granularity data nodes to achieve high write performance on NVM. Thereinto, we devise a new root node construction algorithm to accelerate searching numerous small data nodes. The algorithm ensures stable flat structure and high read performance in large-size datasets by introducing an intermediate layer (i.e., index nodes) and achieving accurate prediction of index node positions from the root node. Our extensive experiments on Intel DCPMM show that WIPE can improve write throughput and read throughput by up to 3.9× and 7×, respectively, compared to the state-of-the-art learned indexes. Also, WIPE can recover from a system crash in ∼ 18ms. WIPE is free as an open-source software package. 1 CCS Concepts: • Computer systems organization → Architectures; • Hardware → Non-volatile memory ; • Information systems → Data structures; Additional Key Words and Phrases: NVM-based learned index, learned index, persistent index, key-value store 1 https://github.com/olemon111/WIPE",2024-02,2025-12-21 21:44:01,2025-12-21 21:44:01,,,,2,1,,,,,,,,,,,,,,,,,Publisher: Association for Computing Machinery,,,,learned index; key-value store; NVM-based learned index; persistent index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
